Examination,Date,Question Number,Question Type,Standard,Cluster,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,Standard.Cluster,,
Algebra I,Aug. '14,1,MC,N-RN,B,The Real Number System,1,20.07%,15.96%,21.73%,42.13%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1UNOVSSfDwq_Zg7nNq_UPd77exLA-dYtJ_UFGc_M6bSU/edit?usp=drivesdk,0.20,N-RN.B,,List of Complete Standards
Algebra I,Aug. '14,2,MC,F-LE,B,"Linear, Quadratic, and Exponential Models",2,22.06%,62.20%,9.31%,6.32%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1efX8xiTwGs0MHLlREnu0Lovt6fzvdFRCKvckV_ndo3U/edit?usp=drivesdk,0.62,F-LE.B,,
Algebra I,Aug. '14,3,MC,A-REI,B,Reasoning with Equations and Inequalities,3,25.61%,21.40%,37.03%,15.41%,0.55%,https://docs.google.com/a/newvisions.org/document/d/1WKYEwU7IAMjtuoHXwWbOLA8faAdke0Mg9ejvd7_g8oU/edit?usp=drivesdk,0.37,A-REI.B,,
Algebra I,Aug. '14,4,MC,S-ID,A,Interpreting Categorical and Quantitative Data,3,8.31%,11.86%,69.07%,10.53%,0.22%,https://docs.google.com/a/newvisions.org/document/d/1CXXT2DGdNnh7Bnu61v6zZ2fYL14D2fIcvHNSHDZ5Ag4/edit?usp=drivesdk,0.69,S-ID.A,,
Algebra I,Aug. '14,5,MC,A-REI,D,Reasoning with Equations and Inequalities,4,16.52%,15.19%,17.96%,49.89%,0.44%,https://docs.google.com/a/newvisions.org/document/d/1hGteFHK2VH8k6NJgzPkVTpnA5rEGk-XvClGPM0t0lrE/edit?usp=drivesdk,0.50,A-REI.D,,
Algebra I,Aug. '14,6,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,2,30.93%,28.60%,24.39%,15.63%,0.44%,https://docs.google.com/a/newvisions.org/document/d/146B13Or1WaAGdZ1agHCpXMXVL4zQm4lRoD9z-PtiBjU/edit?usp=drivesdk,0.29,A-APR.A,,
Algebra I,Aug. '14,7,MC,A-REI,D,Reasoning with Equations and Inequalities,1,19.96%,58.54%,13.86%,7.32%,0.33%,https://docs.google.com/a/newvisions.org/document/d/103WLyZfzFLRZ7Om9AqI3TuidkdA6Jf-9Z8EmDNw_fG8/edit?usp=drivesdk,0.20,A-REI.D,,
Algebra I,Aug. '14,8,MC,F-IF,C,Interpreting Functions,1,23.95%,27.16%,33.59%,14.86%,0.44%,https://docs.google.com/a/newvisions.org/document/d/1b2lxQKT-GMvNu4JrlxPE0jMfxp0J7L7zI5wVAd3qdZw/edit?usp=drivesdk,0.24,F-IF.C,,
Algebra I,Aug. '14,9,MC,A-CED,A,Creating Equations,3,23.28%,29.82%,21.95%,24.72%,0.22%,https://docs.google.com/a/newvisions.org/document/d/1Sgnj9kXk3piLgEvbxGqfHrBGiuqrnbWF4SThNO_FERA/edit?usp=drivesdk,0.22,A-CED.A,,
Algebra I,Aug. '14,10,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,16.74%,5.32%,27.61%,50.22%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1BoyMDuP_EdCTfcZSVdd1d47qNDg-t_LYyrz4Ej-oKWk/edit?usp=drivesdk,0.28,F-LE.A,,
Algebra I,Aug. '14,11,MC,F-IF,A,Interpreting Functions,1,32.48%,15.96%,44.35%,6.32%,0.89%,https://docs.google.com/a/newvisions.org/document/d/1bVooKWJx5GczImWSpo3GKa6oNjtMdPG0I8fu0XnxfHU/edit?usp=drivesdk,0.32,F-IF.A,,
Algebra I,Aug. '14,12,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,34.59%,23.39%,29.93%,11.86%,0.22%,https://docs.google.com/a/newvisions.org/document/d/11yvzFGA8ebnzl1f9U2nhuXTPnLYPBaSO7IFLojJlHMw/edit?usp=drivesdk,0.30,F-LE.A,,
Algebra I,Aug. '14,13,MC,A-CED,A,Creating Equations,2,16.19%,22.62%,45.90%,14.97%,0.33%,https://docs.google.com/a/newvisions.org/document/d/1mjE8bra7VsivvH-8XaI5HiiNZs8oske7tRNvo0cNsmg/edit?usp=drivesdk,0.23,A-CED.A,,
Algebra I,Aug. '14,14,MC,F-IF,B,Interpreting Functions,4,29.16%,26.94%,15.08%,28.60%,0.22%,https://docs.google.com/a/newvisions.org/document/d/1kCXOBRnPq-BXDzxKhCCFq57DP_MvTY4oH4stUaDfUkE/edit?usp=drivesdk,0.29,F-IF.B,,
Algebra I,Aug. '14,15,MC,A-SSE,A,Seeing Structure in Expressions,1,32.26%,17.96%,20.18%,29.49%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1Y9yuimHp1anGxEbhb9vj2cZaeDNxYZLhnuvaxAmBXV0/edit?usp=drivesdk,0.32,A-SSE.A,,
Algebra I,Aug. '14,16,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",2,21.51%,18.63%,45.57%,14.19%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1jIlZZG3AHHJmduRziptMvvuWIp2Bgi7uAfUTsI5Bq4E/edit?usp=drivesdk,0.19,F-LE.A,,
Algebra I,Aug. '14,17,MC,F-BF,B,Building Functions,1,35.70%,23.39%,25.28%,15.30%,0.33%,https://docs.google.com/a/newvisions.org/document/d/1cqyiiQ3vC78SLXL0lDDBJv1ztPC2xZEAT2KlZ2_k74o/edit?usp=drivesdk,0.36,F-BF.B,,
Algebra I,Aug. '14,18,MC,F-IF,C,Interpreting Functions,4,27.05%,15.74%,34.37%,22.17%,0.67%,https://docs.google.com/a/newvisions.org/document/d/1X-1jp5g6JuMYiHEeVueGIbW1QUjt6Ev97rbUcAX5FqI/edit?usp=drivesdk,0.22,F-IF.C,,
Algebra I,Aug. '14,19,MC,A-CED,A,Creating Equations,4,31.26%,17.63%,17.07%,33.59%,0.44%,https://docs.google.com/a/newvisions.org/document/d/17IVSQ9icbXSEJzk2TwC3zvezGEK3MPFFMV29iNv6aKo/edit?usp=drivesdk,0.34,A-CED.A,,
Algebra I,Aug. '14,20,MC,A-REI,B,Reasoning with Equations and Inequalities,1,27.83%,44.46%,17.29%,9.87%,0.55%,https://docs.google.com/a/newvisions.org/document/d/1uilhBjrUBKsa7uu0l_8K0xFSfuQK3aQ4cX-KuOy9WNo/edit?usp=drivesdk,0.28,A-REI.B,,
Algebra I,Aug. '14,21,MC,S-ID,B,Interpreting Categorical and Quantitative Data,4,34.37%,14.41%,22.51%,27.72%,1.00%,https://docs.google.com/a/newvisions.org/document/d/1ljxIN0KD1vEbsfkGhpYuaOIn94wFI-q7KQQrxaqaUfU/edit?usp=drivesdk,0.28,S-ID.B,,
Algebra I,Aug. '14,22,MC,F-IF,C,Interpreting Functions,2,20.95%,37.36%,24.17%,16.74%,0.78%,https://docs.google.com/a/newvisions.org/document/d/1Lh5qEj3-_XNJ50NEaYJ1BSBNcakW_YYUo67WAiMbqxI/edit?usp=drivesdk,0.37,F-IF.C,,
Algebra I,Aug. '14,23,MC,F-IF,B,Interpreting Functions,2,16.63%,16.96%,31.71%,34.26%,0.44%,https://docs.google.com/a/newvisions.org/document/d/1p1078hJWJLPpVMsi6w2xn0fDo78Qf-xaWkI8_iW1blU/edit?usp=drivesdk,0.17,F-IF.B,,
Algebra I,Aug. '14,24,MC,F-IF,A,Interpreting Functions,4,31.15%,32.37%,24.61%,11.31%,0.55%,https://docs.google.com/a/newvisions.org/document/d/1ykrRx62FLANLB597b7fUqx1EVs7DXVNd0CFKYeAZkXA/edit?usp=drivesdk,0.11,F-IF.A,,
Algebra I,August '15,1,MC,F-BF,B,Building Functions,2,26.67%,50.48%,11.57%,11.15%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1kQtaTyc5NUFrL7P0AP4QtVRIOO4bMsHeq8nvqTGGKV0/edit?usp=drivesdk,0.50,F-BF.B,,
Algebra I,August '15,2,MC,A-CED,A,Creating Equations,3,20.52%,21.48%,46.23%,11.49%,0.29%,https://docs.google.com/a/newvisions.org/document/d/1wMn6WssAjQ440K_ueswfH8isRorjm9gi8fBl2zKnmFw/edit?usp=drivesdk,0.46,A-CED.A,,
Algebra I,August '15,3,MC,A-SSE,A,Seeing Structure in Expressions,4,6.07%,9.85%,18.33%,65.61%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1Q9duPVfzudfbMZJ7_LnL1ulltUdfw63wKYz3hXAWF9s/edit?usp=drivesdk,0.66,A-SSE.A,,
Algebra I,August '15,4,MC,A-APR,B,Arithmetic with Polynomials and Rational Expressions,1,58.43%,20.10%,10.11%,10.94%,0.42%,https://docs.google.com/a/newvisions.org/document/d/1sLwTrA_4QEbt09IYhO25Lx0DXbHQp391dW1BcjFUY3o/edit?usp=drivesdk,0.58,A-APR.B,,
