#,Problem ID,Correct,Attempts,Accuracy,Time Average,Cluster
1,2035594,"3,548","4,086",0.87,0 min 45 sec,Finding Coefficients of Polynomials
2,2035582,"3,310","3,890",0.85,0 min 48 sec,Finding Coefficients of Polynomials
3,2035569,"3,491","4,134",0.84,0 min 45 sec,Finding Coefficients of Polynomials
4,2035505,"3,335","3,989",0.84,0 min 53 sec,Finding Coefficients of Polynomials
5,2035563,"3,241","3,910",0.83,0 min 48 sec,Finding Coefficients of Polynomials
6,2035552,"3,310","4,005",0.83,0 min 48 sec,Finding Coefficients of Polynomials
7,2035522,"3,335","4,041",0.83,0 min 53 sec,Finding Coefficients of Polynomials
8,2035512,"3,316","4,027",0.82,0 min 52 sec,Finding Coefficients of Polynomials
9,2035557,"3,247","3,984",0.82,0 min 50 sec,Finding Coefficients of Polynomials
10,2035591,"3,200","3,932",0.81,0 min 46 sec,Finding Coefficients of Polynomials
11,2035584,"3,208","3,949",0.81,0 min 49 sec,Finding Coefficients of Polynomials
12,2035516,"3,371","4,156",0.81,0 min 54 sec,Finding Coefficients of Polynomials
13,2035545,"3,147","3,911",0.81,0 min 50 sec,Finding Coefficients of Polynomials
14,2035589,"3,209","4,037",0.80,0 min 53 sec,Finding Coefficients of Polynomials
15,2035542,"3,238","4,085",0.79,0 min 56 sec,Finding Coefficients of Polynomials
16,2035576,"3,176","4,007",0.79,0 min 49 sec,Finding Coefficients of Polynomials
17,2035502,"3,235","4,090",0.79,0 min 47 sec,Finding Coefficients of Polynomials
18,2035507,"3,549","4,495",0.79,0 min 46 sec,Finding Coefficients of Polynomials
19,2035511,"3,184","4,029",0.79,0 min 48 sec,Finding Coefficients of Polynomials
20,2035503,"3,253","4,123",0.79,0 min 56 sec,Finding Coefficients of Polynomials
21,2035565,"3,237","4,102",0.79,0 min 55 sec,Finding Coefficients of Polynomials
22,2035529,"3,163","4,024",0.79,0 min 54 sec,Finding Coefficients of Polynomials
23,2035499,"3,121","3,982",0.78,0 min 47 sec,Finding Coefficients of Polynomials
24,2035506,"3,126","3,994",0.78,0 min 52 sec,Finding Coefficients of Polynomials
25,2035510,"3,013","3,853",0.78,0 min 48 sec,Finding Coefficients of Polynomials
26,2035568,"3,798","4,865",0.78,0 min 49 sec,Finding Coefficients of Polynomials
27,2035577,"3,176","4,067",0.78,0 min 49 sec,Finding Coefficients of Polynomials
28,2035508,"3,110","3,985",0.78,0 min 49 sec,Finding Coefficients of Polynomials
29,2035544,"2,982","3,830",0.78,0 min 46 sec,Finding Coefficients of Polynomials
