Examination,Date,Question,Question Type,Standard,Cluster,Domain,Link to Question,Percent Points Earned,Standard.Cluster,Cluster Text
Algebra I,January 2017,33,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1g-rS9_hdcPltW3_sV5jZj1r6nUVub6QULAXy1Z3pvDs/edit?usp=sharing,0.18,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2014,36,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1B2Td_SeZfmce4G1ObfLKB3xIOuAc3W5VXe3xc789E-k/edit?usp=sharing,0.33,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2017,31,CR,F-IF,B,Interpreting Functions,https://docs.google.com/document/d/1PLNLg6_ET7LcU-rxpyMGpIY8fZGLE94tLOR6DhEs4mQ/edit?usp=sharing,0.09,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,January 2016,32,CR,A-SSE,B,Seeing Structure in Expressions,https://docs.google.com/a/newvisions.org/document/d/1X9S93c3sKUP-WBVHu4BhEEgNoSp_zM2trDgKU4dy188/edit?usp=drivesdk,0.28,A-SSE.B, Write Expressions In Equivalent Forms To Solve Problems
Algebra I,August 2014,36,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1eFkHrFIs273Vr8bTeW6Y5M70txhX2ajNjCY_IRST0qU/edit?usp=drivesdk,0.02,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2014,35,CR,F-BF,A,Building Functions,https://docs.google.com/a/newvisions.org/document/d/1UuznZJuDZmuWqgGVcnxC2MiPsZAIIfzYQLeqdtYBen8/edit?usp=sharing,0.23,F-BF.A, Build A Function That Models A Relationship Between Two Quantities
Algebra I,June 2015,29,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1mjbcmfb2RafI1zcWoqcX4cly3KFUVjuKq-M8NQfuBHo/edit?usp=drivesdk,0.21,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,January 2017,27,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1VeqosqyCa9KdBFeEcrUD4aO2yKxQ_AJGvfLUBxGbDMc/edit?usp=sharing,0.19,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,June 2018,29,CR,A-SSE,B,Seeing Structure in Expressions,https://docs.google.com/document/d/1RCpLkiM0TPB43_5ycxGsaN33eNX_22f2Bw44765ueDw/edit?usp=drivesdk,0.21,A-SSE.B, Write Expressions In Equivalent Forms To Solve Problems
Algebra I,January 2016,35,CR,S-ID,C,Interpreting Categorical and Quantitative Data,https://docs.google.com/a/newvisions.org/document/d/17qqmsoOxPv-Ly35TxFRE4NJGOnkjLT-qS3g2EMlzbgg/edit?usp=drivesdk,0.03,S-ID.C, Interpret Linear Models
Algebra I,June 2018,27,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/document/d/1vqsogAlTLDJoy-fdhLDRi7zqWUXju-GXZ6soc1s2iKA/edit?usp=drivesdk,0.10,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,August 2014,34,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1msDyGss9dsrBKPQvuZGN3Zcc_JApA7DYblayJyMNwI0/edit?usp=drivesdk,0.05,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,August 2015,35,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/1Uv5qfUNATwvz_bTGXJTpGEU2Y2g8XaVDJFtWpPAAKB8/edit?usp=drivesdk,0.05,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2016,29,CR,A-REI,D,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1Vh8dZ8Qe3WI_lWJY-dyux9vltt4kGUPgAR3YD9aslms/edit?usp=drivesdk,0.39,A-REI.D, Represent And Solve Equations And Inequalities Graphically
Algebra I,June 2014,33,CR,A-REI,B,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/100YBH3VzFXhQfa52KGA7c6jHK6RskWr7nviqzGHHA3I/edit?usp=sharing,0.09,A-REI.B, Solve Equations And Inequalities In One Variable
Algebra I,June 2015,32,CR,A-CED,A,Creating Equations,https://docs.google.com/a/newvisions.org/document/d/133P-K0K41J0lbQfmHg5ymUzVHD1CQaMolKsjPOOI1p0/edit?usp=drivesdk,0.13,A-CED.A, Create Equations That Describe Numbers Or Relationships
Algebra I,June 2017,34,CR,F-IF,B,Interpreting Functions,https://docs.google.com/a/newvisions.org/document/d/1JqYZIb1uzLijN9wfQ1z8eDaM6t8AXv2kAuYWSBFg1i4/edit?usp=drivesdk,0.24,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,June 2018,33,CR,F-IF,B,Interpreting Functions,https://docs.google.com/document/d/1aTVMU5PZ7IBYl0QJ0Gy3nBMg4WjOIb6W1s8aCJHH3SQ/edit?usp=drivesdk,0.15,F-IF.B, Interpret Functions That Arise In Applications In Terms Of The Context
Algebra I,August 2014,27,CR,A-REI,C,Reasoning with Equations and Inequalities,https://docs.google.com/a/newvisions.org/document/d/1djYRxRF0yAyHk8TpyZzd0Pfz4Lkm55ksyW2mc5nOCXc/edit?usp=drivesdk,0.04,A-REI.C, Solve Systems Of Equations
