Examination,Date,Question Number,Question Type,Standard,Cluster,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,Standard.Cluster,Question Text
Algebra I,Aug. '14,6,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,2,30.93%,28.60%,24.39%,15.63%,0.44%,Algebra I_August_2014_QMC6,0.29,A-APR.A,"A company produces x units of a product per month, where C(x) represents the total cost and R(x) represents the total revenue for the month. The functions are modeled by C(x) = 300x + 250 and R(x) = - 0.5x2 + 800x - 100. The profit is the difference between revenue and cost where P(x) = R(x) - C(x). What is the total profit, P(x), for the month?"
Algebra I,Aug. '14,19,MC,A-CED,A,Creating Equations,4,31.26%,17.63%,17.07%,33.59%,0.44%,Algebra I_August_2014_QMC19,0.34,A-CED.A,"During the 2010 season, football player McGee’s earnings, m, were 0.005 million dollars more than those of his teammate Fitzpatrick’s earnings, f. The two players earned a total of 3.95 million dollars. Which system of equations could be used to determine the amount each player earned, in millions of dollars?"
Algebra I,Aug. '14,13,MC,A-CED,A,Creating Equations,2,16.19%,22.62%,45.90%,14.97%,0.33%,Algebra I_August_2014_QMC13,0.23,A-CED.A,Which graph shows a line where each value of y is three more than half of x?
Algebra I,Aug. '14,9,MC,A-CED,A,Creating Equations,3,23.28%,29.82%,21.95%,24.72%,0.22%,https://docs.google.com/a/newvisions.org/document/d/1Sgnj9kXk3piLgEvbxGqfHrBGiuqrnbWF4SThNO_FERA/edit?usp=drivesdk,0.22,A-CED.A,"Sam and Jeremy have ages that are consecutive odd integers. The product of their ages is 783. Which equation could be used to find Jeremy’s age, j, if he is the younger man?"
Algebra I,Aug. '14,7,MC,A-REI,D,Reasoning with Equations and Inequalities,1,19.96%,58.54%,13.86%,7.32%,0.33%,https://docs.google.com/a/newvisions.org/document/d/103WLyZfzFLRZ7Om9AqI3TuidkdA6Jf-9Z8EmDNw_fG8/edit?usp=drivesdk,0.20,A-REI.D,What is one point that lies in the solution set of the system of inequalities graphed below?
Algebra I,Aug. '14,5,MC,A-REI,D,Reasoning with Equations and Inequalities,4,16.52%,15.19%,17.96%,49.89%,0.44%,https://docs.google.com/a/newvisions.org/document/d/1hGteFHK2VH8k6NJgzPkVTpnA5rEGk-XvClGPM0t0lrE/edit?usp=drivesdk,0.50,A-REI.D,Which point is not on the graph represented by y = x2 + 3x - 6?
Algebra I,Aug. '14,20,MC,A-REI,B,Reasoning with Equations and Inequalities,1,27.83%,44.46%,17.29%,9.87%,0.55%,https://docs.google.com/a/newvisions.org/document/d/1uilhBjrUBKsa7uu0l_8K0xFSfuQK3aQ4cX-KuOy9WNo/edit?usp=drivesdk,0.28,A-REI.B,What is the value of x in the equation x-23+ 16= 56?
Algebra I,Aug. '14,3,MC,A-REI,B,Reasoning with Equations and Inequalities,3,25.61%,21.40%,37.03%,15.41%,0.55%,https://docs.google.com/a/newvisions.org/document/d/1WKYEwU7IAMjtuoHXwWbOLA8faAdke0Mg9ejvd7_g8oU/edit?usp=drivesdk,0.37,A-REI.B,"If 4x2 - 100 = 0, the roots of the equation are"
Algebra I,Aug. '14,15,MC,A-SSE,A,Seeing Structure in Expressions,1,32.26%,17.96%,20.18%,29.49%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1Y9yuimHp1anGxEbhb9vj2cZaeDNxYZLhnuvaxAmBXV0/edit?usp=drivesdk,0.32,A-SSE.A,Which expression is equivalent to x4 - 12x2 + 36?
Algebra I,Aug. '14,17,MC,F-BF,B,Building Functions,1,35.70%,23.39%,25.28%,15.30%,0.33%,https://docs.google.com/a/newvisions.org/document/d/1cqyiiQ3vC78SLXL0lDDBJv1ztPC2xZEAT2KlZ2_k74o/edit?usp=drivesdk,0.36,F-BF.B,The graph of the equation y = ax2 is shown below.
Algebra I,Aug. '14,8,MC,F-IF,C,Interpreting Functions,1,23.95%,27.16%,33.59%,14.86%,0.44%,https://docs.google.com/a/newvisions.org/document/d/1b2lxQKT-GMvNu4JrlxPE0jMfxp0J7L7zI5wVAd3qdZw/edit?usp=drivesdk,0.24,F-IF.C,The value of the x-intercept for the graph of 4x - 5y = 40 is
Algebra I,Aug. '14,11,MC,F-IF,A,Interpreting Functions,1,32.48%,15.96%,44.35%,6.32%,0.89%,https://docs.google.com/a/newvisions.org/document/d/1bVooKWJx5GczImWSpo3GKa6oNjtMdPG0I8fu0XnxfHU/edit?usp=drivesdk,0.32,F-IF.A,Let f be a function such that f(x) = 2x - 4 is defined on the domain 2 ≤ x ≤ 6. The range of this function is
Algebra I,Aug. '14,14,MC,F-IF,B,Interpreting Functions,4,29.16%,26.94%,15.08%,28.60%,0.22%,https://docs.google.com/a/newvisions.org/document/d/1kCXOBRnPq-BXDzxKhCCFq57DP_MvTY4oH4stUaDfUkE/edit?usp=drivesdk,0.29,F-IF.B,"The table below shows the average diameter of a pupil in a person’s eye as he or she grows older. What is the average rate of change, in millimeters per year, of a person’s pupil diameter from age 20 to age 80?"
Algebra I,Aug. '14,22,MC,F-IF,C,Interpreting Functions,2,20.95%,37.36%,24.17%,16.74%,0.78%,https://docs.google.com/a/newvisions.org/document/d/1Lh5qEj3-_XNJ50NEaYJ1BSBNcakW_YYUo67WAiMbqxI/edit?usp=drivesdk,0.37,F-IF.C,A function is graphed on the set of axes below. Which function is related to the graph?
Algebra I,Aug. '14,23,MC,F-IF,B,Interpreting Functions,2,16.63%,16.96%,31.71%,34.26%,0.44%,https://docs.google.com/a/newvisions.org/document/d/1p1078hJWJLPpVMsi6w2xn0fDo78Qf-xaWkI8_iW1blU/edit?usp=drivesdk,0.17,F-IF.B,"The function h(t) = - 16t2 + 144 represents the height, h(t), in feet, of an object from the ground at t seconds after it is dropped. A realistic domain for this function is"
Algebra I,Aug. '14,18,MC,F-IF,C,Interpreting Functions,4,27.05%,15.74%,34.37%,22.17%,0.67%,https://docs.google.com/a/newvisions.org/document/d/1X-1jp5g6JuMYiHEeVueGIbW1QUjt6Ev97rbUcAX5FqI/edit?usp=drivesdk,0.22,F-IF.C,The zeros of the function f(x) = (x + 2)2 - 25 are
Algebra I,Aug. '14,24,MC,F-IF,A,Interpreting Functions,4,31.15%,32.37%,24.61%,11.31%,0.55%,https://docs.google.com/a/newvisions.org/document/d/1ykrRx62FLANLB597b7fUqx1EVs7DXVNd0CFKYeAZkXA/edit?usp=drivesdk,0.11,F-IF.A,"If f(1) = 3 and f(n) = -2f(n - 1) +1, then f(5) ="
Algebra I,Aug. '14,12,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,34.59%,23.39%,29.93%,11.86%,0.22%,https://docs.google.com/a/newvisions.org/document/d/11yvzFGA8ebnzl1f9U2nhuXTPnLYPBaSO7IFLojJlHMw/edit?usp=drivesdk,0.30,F-LE.A,Which situation could be modeled by using a linear function?
Algebra I,Aug. '14,10,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,16.74%,5.32%,27.61%,50.22%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1BoyMDuP_EdCTfcZSVdd1d47qNDg-t_LYyrz4Ej-oKWk/edit?usp=drivesdk,0.28,F-LE.A,A population that initially has 20 birds approximately doubles every 10 years. Which graph represents this population growth?
Algebra I,Aug. '14,2,MC,F-LE,B,"Linear, Quadratic, and Exponential Models",2,22.06%,62.20%,9.31%,6.32%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1efX8xiTwGs0MHLlREnu0Lovt6fzvdFRCKvckV_ndo3U/edit?usp=drivesdk,0.62,F-LE.B,A satellite television company charges a one-time installation fee and a monthly service charge. The total cost is modeled by the function y = 40 + 90x. Which statement represents the meaning of each part of the function?
Algebra I,Aug. '14,16,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",2,21.51%,18.63%,45.57%,14.19%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1jIlZZG3AHHJmduRziptMvvuWIp2Bgi7uAfUTsI5Bq4E/edit?usp=drivesdk,0.19,F-LE.A,"The third term in an arithmetic sequence is 10 and the fifth term is 26. If the first term is a1, which is an equation for the nth term of this sequence?"
Algebra I,Aug. '14,1,MC,N-RN,B,The Real Number System,1,20.07%,15.96%,21.73%,42.13%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1UNOVSSfDwq_Zg7nNq_UPd77exLA-dYtJ_UFGc_M6bSU/edit?usp=drivesdk,0.20,N-RN.B,Which statement is not always true?
Algebra I,Aug. '14,4,MC,S-ID,A,Interpreting Categorical and Quantitative Data,3,8.31%,11.86%,69.07%,10.53%,0.22%,https://docs.google.com/a/newvisions.org/document/d/1CXXT2DGdNnh7Bnu61v6zZ2fYL14D2fIcvHNSHDZ5Ag4/edit?usp=drivesdk,0.69,S-ID.A,"Isaiah collects data from two different companies, each with four employees. The results of the study, based on each worker’s age and salary, are listed in the tables below."
Algebra I,Aug. '14,21,MC,S-ID,B,Interpreting Categorical and Quantitative Data,4,34.37%,14.41%,22.51%,27.72%,1.00%,https://docs.google.com/a/newvisions.org/document/d/1ljxIN0KD1vEbsfkGhpYuaOIn94wFI-q7KQQrxaqaUfU/edit?usp=drivesdk,0.28,S-ID.B,"The table below shows the number of grams of carbohydrates, x, and the number of Calories, y, of six different foods. Which equation best represents the line of best fit for this set of data?"
Algebra I,August '15,24,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,4,32.34%,22.39%,21.84%,23.07%,0.36%,https://docs.google.com/a/newvisions.org/document/d/12e1vYGGMAdZEdhYF0ZTwUEK0-N1K_xtovUcn1KN47YM/edit?usp=drivesdk,0.23,A-APR.A,Which trinomial is equivalent to 3(x - 2)2 - 2(x - 1)?
