Examination,Date,Question Number,Question Type,Credit,Weight,Standard,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,,,,,,,,
Algebra I,Aug. '14,1,MC,2,1,N-RN,The Real Number System,1,20.1%,16.0%,21.7%,42.1%,0.1%,https://docs.google.com/a/newvisions.org/document/d/1UNOVSSfDwq_Zg7nNq_UPd77exLA-dYtJ_UFGc_M6bSU/edit?usp=drivesdk,20.1%,,,,,,,,
Algebra I,Aug. '14,2,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",2,22.1%,62.2%,9.3%,6.3%,0.1%,https://docs.google.com/a/newvisions.org/document/d/1efX8xiTwGs0MHLlREnu0Lovt6fzvdFRCKvckV_ndo3U/edit?usp=drivesdk,62.2%,,,,,,,,
Algebra I,Aug. '14,3,MC,2,1,A-REI,Reasoning with Equations and Inequalities,3,25.6%,21.4%,37.0%,15.4%,0.6%,https://docs.google.com/a/newvisions.org/document/d/1WKYEwU7IAMjtuoHXwWbOLA8faAdke0Mg9ejvd7_g8oU/edit?usp=drivesdk,37.0%,,,,,,,,
Algebra I,Aug. '14,4,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,3,8.3%,11.9%,69.1%,10.5%,0.2%,https://docs.google.com/a/newvisions.org/document/d/1CXXT2DGdNnh7Bnu61v6zZ2fYL14D2fIcvHNSHDZ5Ag4/edit?usp=drivesdk,69.1%,,,,,,,,
Algebra I,Aug. '14,5,MC,2,1,A-REI,Reasoning with Equations and Inequalities,4,16.5%,15.2%,18.0%,49.9%,0.4%,https://docs.google.com/a/newvisions.org/document/d/1hGteFHK2VH8k6NJgzPkVTpnA5rEGk-XvClGPM0t0lrE/edit?usp=drivesdk,49.9%,,,,,,,,
Algebra I,Aug. '14,6,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,2,30.9%,28.6%,24.4%,15.6%,0.4%,https://docs.google.com/a/newvisions.org/document/d/146B13Or1WaAGdZ1agHCpXMXVL4zQm4lRoD9z-PtiBjU/edit?usp=drivesdk,28.6%,,,,,,,,
Algebra I,Aug. '14,7,MC,2,1,A-REI,Reasoning with Equations and Inequalities,1,20.0%,58.5%,13.9%,7.3%,0.3%,https://docs.google.com/a/newvisions.org/document/d/103WLyZfzFLRZ7Om9AqI3TuidkdA6Jf-9Z8EmDNw_fG8/edit?usp=drivesdk,20.0%,,,,,,,,
Algebra I,Aug. '14,8,MC,2,1,F-IF,Interpreting Functions,1,24.0%,27.2%,33.6%,14.9%,0.4%,https://docs.google.com/a/newvisions.org/document/d/1b2lxQKT-GMvNu4JrlxPE0jMfxp0J7L7zI5wVAd3qdZw/edit?usp=drivesdk,24.0%,,,,,,,,
Algebra I,Aug. '14,9,MC,2,1,A-CED,Creating Equations,3,23.3%,29.8%,22.0%,24.7%,0.2%,https://docs.google.com/a/newvisions.org/document/d/1Sgnj9kXk3piLgEvbxGqfHrBGiuqrnbWF4SThNO_FERA/edit?usp=drivesdk,22.0%,,,,,,,,
Algebra I,Aug. '14,10,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",3,16.7%,5.3%,27.6%,50.2%,0.1%,https://docs.google.com/a/newvisions.org/document/d/1BoyMDuP_EdCTfcZSVdd1d47qNDg-t_LYyrz4Ej-oKWk/edit?usp=drivesdk,27.6%,,,,,,,,
